Wiki ID	Document	People	Places	PER BORN	PLACE BORN	Student ID
1168799	Augustus Heinrich Petermann ( 18 April 182225 September 1878 ) was a German cartographer . Early years . Petermann was born in Bleicherode , Germany . When he was 14 years old he started grammar school in the nearby town of Nordhausen .	Petermann; Augustus Heinrich Petermann	Bleicherode; Nordhausen; Germany	Petermann	Bleicherode	12345
1248450	Sir Winston Leonard Spencer-Churchill ( 30 November 187424 January 1965 ) was a British politician , army officer , and writer , who was Prime Minister of the United Kingdom from 1940 to 1945 and again from 1951 to 1955 . As Prime Minister , Churchill led Britain to victory in the Second World War . Churchill represented five constituencies during his career as Member of Parliament ( MP ) . Ideologically an economic liberal and British imperialist , he began and ended his parliamentary career as a member of the Conservative Party , which he led from 1940 to 1955 , but for twenty years from 1904 he was a prominent member of the Liberal Party .	James McNair	Minnesota	James McNair	Minnesota	12345
33265		Churchill; Winston Leonard Spencer-Churchill; Churchill	Britain; the United Kingdom			12345
137007	Stephanus Johannes Paulus `` Paul '' Kruger ( ; ; 10 October 1825 – 14 July 1904 ) was one of the dominant political and military figures in 19th-century South Africa , and President of the South African Republic ( or Transvaal ) from 1883 to 1900 . Nicknamed `` Oom Paul '' ( `` Uncle Paul '' ) , he came to international prominence as the face of the Boer cause—that of the Transvaal and its neighbour the Orange Free State—against Britain during the Second Boer War of 1899–1902 . He has been called a personification of Afrikanerdom , and remains a controversial and divisive figure ; admirers venerate him as a tragic folk hero , and critics view him as the obstinate guardian of an unjust cause . Born near the eastern edge of the Cape Colony , Kruger took part in the Great Trek as a child during the late 1830s .	Boer; Kruger	the South African Republic; South Africa; Britain			12345
36973989	Hassan Sheikh Mohamud ( , ; born 29 November 1955 ) is a Somali politician . He was the 8th President of Somalia from 16 September 2012 until 16 February 2017 . A civil and political activist , Mohamud was previously a university professor and dean . He is also the founder and Chairman of the Peace and Development Party ( PDP ) .	Hassan Sheikh Mohamud; Mohamud	Somalia			12345
1657234	Omar Ahmed Sayid Khadr ( born September 19 , 1986 ) is a Canadian who was detained by the United States at Guantanamo Bay for ten years , from the age of 16 , during which he pleaded guilty to the murder of U.S. Army Sergeant 1st Class Christopher Speer and other charges . He later appealed his conviction , claiming that he falsely pleaded guilty so that he could return to Canada . Khadr sued the Canadian government for infringing his rights under the Charter of Rights and Freedoms ; this lawsuit was settled in 2017 with a $ 10.5 million ( USD 8 million ) payment and an apology by the federal government . Born in Canada , Khadr was taken to Afghanistan by his father , who was affiliated with Al-Qaeda and other terrorist organizations .	Christopher Speer; Omar Ahmed Sayid Khadr	Afghanistan; Canada; the United States; Canada	Omar Ahmed Sayid Khadr	Canada	12345
10030	Edmund Burke ( ; 12 January [ NS ] 17309 July 1797 ) was an Irish statesman born in Dublin , as well as an author , orator , political theorist and philosopher , who after moving to London in 1750 served as a member of parliament ( MP ) between 1766 and 1794 in the House of Commons with the Whig Party . Burke was a proponent of underpinning virtues with manners in society and of the importance of religious institutions for the moral stability and good of the state . These views were expressed in his `` A Vindication of Natural Society '' . Burke criticized British treatment of the American colonies , including through its taxation policies .	Edmund Burke	London; Dublin	Edmund Burke	Dublin	12345
391324	Michael Richard Pence ( born June 7 , 1959 ) is an American politician and lawyer serving as the 48th and current Vice President of the United States . He previously was the 50th Governor of Indiana from 2013 to 2017 and a member of the United States House of Representatives from 2001 to 2013 . Born and raised in Columbus , Indiana , Pence graduated from Hanover College and earned a law degree from the Indiana University Robert H. McKinney School of Law before entering private practice . After losing two bids for a U.S. congressional seat in 1988 and 1990 , he became a conservative radio and television talk show host from 1994 to 1999 .	Michael Richard Pence	Columbus; Indiana; Indiana; U.S.; the United States; Pence; the United States; Indiana	Michael Richard Pence	Columbus	12345
1938	Andrew Carnegie ( , but commonly or ; November 25 , 1835August 11 , 1919 ) was a Scottish-American industrialist , business magnate , and philanthropist . Carnegie led the expansion of the American steel industry in the late 19th century and is often identified as one of the richest people ( and richest Americans ) . He became a leading philanthropist in the United States and in the British Empire . During the last 18 years of his life , he gave away about $ 350 million to charities , foundations , and universitiesalmost 90 percent of his fortune .	Andrew Carnegie; Carnegie	the United States; the British Empire			12345
163036	Sir Ralph David Richardson ( 19 December 1902 – 10 October 1983 ) was an English actor who , along with his contemporaries John Gielgud and Laurence Olivier , dominated the British stage of the mid-20th century . He worked in films throughout most of his career , and played more than sixty cinema roles . From an artistic but not theatrical background , Richardson had no thought of a stage career until a production of `` Hamlet '' in Brighton inspired him to become an actor . He learned his craft in the 1920s with a touring company and later the Birmingham Repertory Theatre .	Ralph David Richardson; Laurence Olivier; Richardson; John Gielgud	Brighton			12345
